Nom;Description;Capitalisation;Date d'entree en bourse;Pays;Secteur;Symbole
NVIDIA;NVIDIA est devenue le leader mondial des puces graphiques (GPU) et de l'infrastructure pour l'intelligence artificielle. Ses processeurs alimentent les centres de donnees, les jeux video et les systemes autonomes. La demande explosive en IA a propulse sa valorisation au sommet mondial.;4500 Mds $;1999;Etats-Unis;Semi-conducteurs / IA;NVDA
Apple;Apple concoit des appareils grand public iconiques - iPhone, Mac, iPad, Apple Watch - et developpe un ecosysteme de services florissant : App Store, Apple Music, iCloud, Apple TV+. La marque la plus valorisee au monde mise desormais sur les services pour diversifier ses revenus au-dela du materiel.;4000 Mds $;1980;Etats-Unis;Technologie;AAPL
Google;Maison mere de Google, Alphabet controle le moteur de recherche le plus utilise au monde, YouTube, Android, Google Cloud et Waymo (voitures autonomes). La publicite numerique reste son principal moteur de revenus, representant plus de 75 % de son chiffre d'affaires.;3800 Mds $;2004;Etats-Unis;Technologie / Publicite;GOOGL
Microsoft;Geant des logiciels et du cloud, Microsoft edite Windows et Office, et opere Azure, le deuxieme fournisseur cloud mondial. Son investissement strategique dans OpenAI (ChatGPT) l'a place au coeur de la revolution IA. Teams, LinkedIn et Xbox completent un portefeuille tres diversifie.;3500 Mds $;1986;Etats-Unis;Technologie / Cloud;MSFT
Amazon;Parti d'une librairie en ligne en 1994, Amazon est devenu le leader mondial du e-commerce et du cloud avec AWS, qui represente la majorite de ses benefices. Prime, Alexa, Whole Foods et une regie publicitaire en plein essor font d'Amazon un empire tentaculaire au coeur du quotidien numerique.;2200 Mds $;1997;Etats-Unis;E-commerce / Cloud;AMZN
Meta;Meta possede les trois plus grandes plateformes sociales mondiales : Facebook (3 Mds d'utilisateurs), Instagram et WhatsApp. L'entreprise mise egalement sur la realite augmentee et virtuelle via ses lunettes Ray-Ban et ses casques Quest, tout en developpant ses capacites en intelligence artificielle.;1500 Mds $;2012;Etats-Unis;Reseaux sociaux;META
TSMC;Taiwan Semiconductor Manufacturing Company est le plus grand fabricant de puces au monde, avec environ 70 % de part de marche dans la fonderie. Elle produit les processeurs d'Apple, NVIDIA, AMD et Qualcomm. Son role est si strategique que les Etats-Unis et l'Europe lui ont demande d'y construire des usines.;1000 Mds $;1994;Taiwan;Semi-conducteurs;TSM
Tesla;Tesla est le premier constructeur de vehicules electriques mondial, connu pour ses voitures Model 3, Model Y et Cybertruck. Au-dela de l'automobile, Tesla developpe des batteries de stockage d'energie (Powerwall), des panneaux solaires et des robots humanoides (Optimus), sous l'impulsion d'Elon Musk.;900 Mds $;2010;Etats-Unis;Automobile / Energie;TSLA
Berkshire Hathaway;Conglomerat dirige pendant 60 ans par le legendaire investisseur Warren Buffett (retraite fin 2025), Berkshire detient des participations dans des dizaines d'entreprises : Geico (assurance), BNSF (chemin de fer), Dairy Queen, Coca-Cola et Apple. C'est la premiere entreprise non-tech a atteindre 1 000 Mds $ de capitalisation.;850 Mds $;1965;Etats-Unis;Conglomerat financier;BRK.A
Saudi Aramco;Compagnie petroliere nationale d'Arabie Saoudite, Saudi Aramco est la plus grande entreprise energetique mondiale, produisant entre 10 et 12 millions de barils par jour. Elle est aussi l'entreprise la plus rentable de la planete, avec des benefices nets depassant regulierement les 100 milliards de dollars par an.;800 Mds $;2019;Arabie Saoudite;Energie / Petrole;2222
